Hora,Tiempo_operacion,Tiempo_sin_operar,Factor_toneladas,Factor_kilometros,Toneladas_cargadas,Kms_andados
215,252.6816618465565,281.7511158301721,0.0,0.0,4211.991752470284,3273.311628387022
216,253.74832048111378,282.23889872573784,0.0,0.0,4242.638150242819,3293.9394361870427
217,254.8186642029387,283.4023800966003,0.0,0.0,4281.918930277575,3315.3478901404083
218,255.25791520940064,284.9750545306216,0.0,0.0,4319.833240364241,3331.515272446322
219,256.21183870436363,286.0815155063926,0.0,0.0,4327.83336045948,3342.7009541863754
220,257.37813078421175,287.41386787251747,0.0,0.0,4334.087384195067,3352.0618372048853
221,258.123091388009,288.87614544713904,0.0,0.0,4343.272806745754,3363.3761426065066
222,258.81516128757573,289.57545889034884,0.0,0.0,4352.578296763006,3380.4252940853175
223,260.28930186948327,291.480486604241,0.0,0.0,4386.586736835241,3395.884210481775
224,262.401214733617,292.86517762657303,0.0,0.0,4395.975466744845,3407.2882805020067
225,263.49461047728346,294.804930830853,0.0,0.0,4404.943479626575,3416.9689283749954
226,264.5267382895607,296.656079856297,0.0,0.0,4413.630071020453,3431.9511497751946
227,266.1357348056745,297.8089335899417,0.0,0.0,4420.215146393978,3447.9987355404996
228,266.98253078790617,298.3922081520825,0.0,0.0,4427.073829208316,3466.1650057669735
229,267.71425471805696,299.7587341026732,0.0,0.0,4452.035473265954,3486.48385780242
230,268.4092307043634,301.3990318461882,0.0,0.0,4474.096345433862,3503.1814052887757
231,269.48193330251735,302.63914687696985,0.0,0.0,4496.897991064854,3520.160533609792
232,270.9366767018576,304.6037998172155,0.0,0.0,4504.898695324162,3537.150707406744
233,271.7694959789298,306.29613945168506,0.0,0.0,4524.999265725158,3559.024399356042
234,273.35894952014803,307.6133484737602,0.0,0.0,4530.354225908695,3578.0632448987335
235,274.2665403018252,307.6419211151609,0.0,0.0,4536.573620119965,3589.2565751626366
236,275.2866471704384,309.1720898243134,0.0,0.0,4556.658153543098,3601.549587077364
237,276.16340704500794,310.28309591128425,0.0,0.0,4581.821225530279,3614.350019582704
238,277.1715568910684,311.9622463923004,0.0,0.0,4605.335270702976,3633.512546893591
239,278.23220209608627,312.78990867704937,0.0,0.0,4631.221686349954,3643.0299246087216
240,279.29678350413275,313.10669663284403,0.0,0.0,4638.99060357406,3653.9699097859425
241,280.32768008663413,314.73896919345293,0.0,0.0,4648.055731757319,3664.1847086450443
242,281.5705296230419,316.40639115910574,0.0,0.0,4656.143666375347,3680.0140775531177
243,282.4793348920668,316.9787873683062,0.0,0.0,4664.4644177218615,3691.343960235235
244,283.6540143821316,318.93003748214556,0.0,0.0,4693.559096998686,3699.8623096325086
245,285.3558092779337,319.6389738021938,0.0,0.0,4702.371564293633,3708.047822108047
246,286.0450822232994,321.1926964559811,0.0,0.0,4728.980284223857,3729.672127692109
247,287.5925999951654,323.11992749495346,0.0,0.0,4758.469981518219,3745.7716305691315
248,288.9804704664656,325.1046991147682,6.6685460699433134,5.265857192548276,4764.669763786969,3762.449907760506
249,289.82858166663095,327.017513014501,6.689828670563084,5.267730758470561,4793.90432921567,3774.834682881202
250,290.7600781229231,327.1755740258079,6.682445167304306,5.273497854543122,4804.0037354759725,3791.1127974835845
251,291.6815813398904,328.2409879073639,6.67444680490849,5.277623048421766,4813.460781026185,3806.1029330454494
252,292.8837293138076,328.8662928094254,6.69350278385562,5.272470851120615,4847.098551055904,3818.0585932662057
253,294.2506529487899,329.97114337797444,6.70870988750726,5.2641271061755015,4880.784159786136,3829.8076121561026
254,296.4351364011937,331.60923623196464,6.6713346892003305,5.237191334972672,4889.625122139572,3838.49761913288
255,297.9348449577318,333.4277837985984,6.644715282292491,5.233053160381767,4894.753566380447,3854.8687989833434
256,298.7109552474133,335.38932152710476,6.671311743073114,5.234137829363117,4927.147250732636,3865.7116934581145
257,299.51964810405457,335.7524026890129,6.663817460713583,5.247308091430568,4934.936452846858,3885.930569434603
258,300.90781282742415,337.6764549764849,6.643325147560904,5.246765484500476,4942.562030683446,3903.5367517896657
259,302.4194926600594,339.08579775983446,6.642700481492848,5.236782257618018,4966.925051999026,3915.682343302258
260,303.71056755543884,341.0713855355243,6.624529933606017,5.236103218914807,4974.485003302791,3931.8890848544656
261,304.71758023153075,342.67699064783903,6.611362446641706,5.238336137792516,4981.058395760766,3946.6083442789186
262,305.4703813915123,343.3892364125742,6.6225360070809565,5.238463073937631,5001.803096865206,3956.4542643512686
263,306.4173123495917,344.76797348939397,6.610318282916116,5.250976956438784,5008.0519545711095,3978.1995789921652
264,307.79120492769874,346.26822121279923,6.59419717207259,5.241107008500668,5018.238410450722,3988.5256411090836
265,308.88587361841377,347.53129501957375,6.607133614289389,5.2420988089177785,5045.965678788533,4003.468405332418
266,310.01947903143537,349.11364077931444,6.61201549686129,5.237751923692516,5068.226327979552,4014.8290958612133
267,311.44575076728063,350.18272368885505,6.626790465204645,5.232716130974694,5102.920522964087,4029.4218861756935
268,311.8518636207397,352.08076337148117,6.6279946939058325,5.249723928636213,5110.503046378064,4047.789922735921
269,312.44441650595616,353.5635146939311,6.626250236020559,5.2528181692577816,5118.865948198256,4057.8715111789716
270,313.46243712606145,354.3982755980717,6.63449639691114,5.253436719376198,5141.935494490396,4071.5724479097125
271,314.70988620525594,355.4289275154949,6.619709125405103,5.249038603510399,5150.892050722938,4084.353361236995
272,315.97166070470655,356.27930248720884,6.6235362007667025,5.247719524192026,5174.533498101245,4099.69835500081
273,317.1732434097055,357.3016039571735,6.611976253813097,5.2506300721080486,5185.145936881371,4117.571228232631
274,318.2123392862117,358.25189701692847,6.603176685852297,5.250042531068903,5195.209794881698,4130.598601032917
275,319.483984794754,359.6706966149266,6.58377476302741,5.244475391172129,5200.6450432718875,4142.707782293429
276,320.84958596999394,361.51439323465985,6.605346101885478,5.246462865835585,5239.98709359168,4161.992010704653
277,321.5096898873385,363.4905094619447,6.620506881865557,5.258615841790283,5262.819359345135,4180.21546527484
278,322.33400438898906,365.3111077064496,6.633192586841831,5.259262872871067,5286.422696845285,4191.448726360385
279,323.3212336498585,366.9232391533902,6.62145877697004,5.265790360710163,5293.233623330528,4209.504208901148
280,325.02975182527183,368.14145937148584,6.599270130495343,5.264234959241653,5303.373055851147,4230.498417317598
281,326.28908183588635,369.2462036511198,6.611330972339845,5.27075100448649,5333.651022008587,4252.1462923951585
282,327.96391704245013,370.2758357321321,6.615662002134278,5.265357759645054,5364.540510713308,4269.599171768758
283,329.2010512890356,371.93703556465834,6.599680611372857,5.270206021841872,5371.768494132271,4289.651019919169
284,330.4931855619674,373.4128388015372,6.585972993671198,5.263619721635007,5381.65199225866,4301.10624332196
285,331.2841923345192,374.59731407598343,6.597528058047134,5.26471063043286,5403.997196108594,4312.2941251429265
286,332.35095757926973,375.8246178349297,6.604517616699711,5.2711623080394965,5427.142101382587,4331.481653231973
287,333.4456643825824,376.17090852506175,6.590548520543649,5.265561923118943,5433.501512798849,4341.131635071058
